Energy,1000,Fraction
0.01,0.011,0.00017017
0.011,0.012,0.000181941
0.012,0.013,0.000175672
0.013,0.014,0.000189779
0.014,0.015,0.000200754
0.015,0.016,0.000186882
0.016,0.017,0.000250706
0.017,0.018,0.000289138
0.018,0.019,0.000541358
0.019,0.02,0.000896626
0.02,0.021,0.000943303
0.021,0.022,0.001313213
0.022,0.023,0.001996656
0.023,0.024,0.003142808
0.024,0.025,0.004590102
0.025,0.026,0.006064546
0.026,0.027,0.007647564
0.027,0.028,0.009165415
0.028,0.029,0.010558944
0.029,0.03,0.011904396
0.03,0.031,0.013127214
0.031,0.032,0.014175197
0.032,0.033,0.015185221
0.033,0.034,0.016063869
0.034,0.035,0.01698021
0.035,0.036,0.017748039
0.036,0.037,0.018366653
0.037,0.038,0.018935559
0.038,0.039,0.019409159
0.039,0.04,0.019779865
0.04,0.041,0.020162238
0.041,0.042,0.020329971
0.042,0.043,0.020514924
0.043,0.044,0.020520963
0.044,0.045,0.020565793
0.045,0.046,0.020594003
0.046,0.047,0.020488692
0.047,0.048,0.020249356
0.048,0.049,0.02017091
0.049,0.05,0.019887224
0.05,0.051,0.019557072
0.051,0.052,0.01931187
0.052,0.053,0.018911129
0.053,0.054,0.018583426
0.054,0.055,0.018169615
0.055,0.056,0.017864084
0.056,0.057,0.017492611
0.057,0.058,0.0189735
0.058,0.059,0.02404415
0.059,0.06,0.039958529
0.06,0.061,0.029656472
0.061,0.062,0.019548144
0.062,0.063,0.015770642
0.063,0.064,0.014666933
0.064,0.065,0.013854591
0.065,0.066,0.013337351
0.066,0.067,0.012919988
0.067,0.068,0.020267911
0.068,0.069,0.017083528
0.069,0.07,0.013670694
0.07,0.071,0.011706902
0.071,0.072,0.009729976
0.072,0.073,0.008852839
0.073,0.074,0.008543043
0.074,0.075,0.008146022
0.075,0.076,0.007846697
0.076,0.077,0.00760314
0.077,0.078,0.007275945
0.078,0.079,0.007012032
0.079,0.08,0.006769075
0.08,0.081,0.006422735
0.081,0.082,0.006141278
0.082,0.083,0.005827699
0.083,0.084,0.005544638
0.084,0.085,0.005235925
0.085,0.086,0.004941425
0.086,0.087,0.004655445
0.087,0.088,0.00442341
0.088,0.089,0.004233532
0.089,0.09,0.003925931
0.09,0.091,0.003591602
0.091,0.092,0.00339044
0.092,0.093,0.003145185
0.093,0.094,0.00290712
0.094,0.095,0.002661463
0.095,0.096,0.002431606
0.096,0.097,0.002282435
0.097,0.098,0.002139479
0.098,0.099,0.001949788
0.099,0.1,0.001780944
0.1,0.101,0.001667677
0.101,0.102,0.001531669
0.102,0.103,0.001406311
0.103,0.104,0.001223516
0.104,0.105,0.001181
0.105,0.106,0.001034643
0.106,0.107,0.000910697
0.107,0.108,0.000806566
0.108,0.109,0.000732633
0.109,0.11,0.000689983
0.11,0.111,0.000547392
