Energy,1000,Fraction
0.01,0.011,3.77E-06
0.011,0.012,4.56E-06
0.012,0.013,4.04E-06
0.013,0.014,4.82E-06
0.014,0.015,5.96E-06
0.015,0.016,4.77E-06
0.016,0.017,1.21E-05
0.017,0.018,1.41E-05
0.018,0.019,4.00E-05
0.019,0.02,0.000180455
0.02,0.021,0.000195271
0.021,0.022,0.000395341
0.022,0.023,0.000862615
0.023,0.024,0.001851075
0.024,0.025,0.003514326
0.025,0.026,0.005381006
0.026,0.027,0.007323906
0.027,0.028,0.00927056
0.028,0.029,0.011207299
0.029,0.03,0.012982056
0.03,0.031,0.014724925
0.031,0.032,0.016307352
0.032,0.033,0.017768705
0.033,0.034,0.019229079
0.034,0.035,0.020399252
0.035,0.036,0.021433165
0.036,0.037,0.022534402
0.037,0.038,0.023344012
0.038,0.039,0.024045745
0.039,0.04,0.024622772
0.04,0.041,0.025004519
0.041,0.042,0.025403259
0.042,0.043,0.025509357
0.043,0.044,0.02566372
0.044,0.045,0.025507003
0.045,0.046,0.025341583
0.046,0.047,0.025085358
0.047,0.048,0.024946276
0.048,0.049,0.024504259
0.049,0.05,0.024145596
0.05,0.051,0.023587635
0.051,0.052,0.022908956
0.052,0.053,0.022534588
0.053,0.054,0.021896735
0.054,0.055,0.021273511
0.055,0.056,0.020519802
0.056,0.057,0.019837189
0.057,0.058,0.020207791
0.058,0.059,0.022526843
0.059,0.06,0.033960577
0.06,0.061,0.024554545
0.061,0.062,0.018657984
0.062,0.063,0.016107868
0.063,0.064,0.014988682
0.064,0.065,0.014024054
0.065,0.066,0.013446501
0.066,0.067,0.012732888
0.067,0.068,0.017953055
0.068,0.069,0.014062649
0.069,0.07,0.011810243
0.07,0.071,0.010148458
0.071,0.072,0.0088117
0.072,0.073,0.007985651
0.073,0.074,0.007345214
0.074,0.075,0.006913641
0.075,0.076,0.006499085
0.076,0.077,0.006031384
0.077,0.078,0.005546868
0.078,0.079,0.00502086
0.079,0.08,0.004632255
0.08,0.081,0.004211775
0.081,0.082,0.003910789
0.082,0.083,0.003463393
0.083,0.084,0.003059028
0.084,0.085,0.002741697
0.085,0.086,0.002422607
0.086,0.087,0.002135485
0.087,0.088,0.001854182
0.088,0.089,0.001580228
0.089,0.09,0.001358337
0.09,0.091,0.001167668
0.091,0.092,0.000984536
0.092,0.093,0.000828675
0.093,0.094,0.000717356
0.094,0.095,0.000629271
0.095,0.096,0.000548307
0.096,0.097,0.000457755
0.097,0.098,0.000392149
0.098,0.099,0.000325485
0.099,0.1,0.0002781
0.1,0.101,0.000235301
0.101,0.102,0.000221116
0.102,0.103,0.000183341
0.103,0.104,0.000139248
0.104,0.105,0.000135892
0.105,0.106,0.000112403
0.106,0.107,9.12E-05
0.107,0.108,6.92E-05
0.108,0.109,5.92E-05
0.109,0.11,4.57E-05
0.11,0.111,3.31E-05
